Channel,Store Type,Store Name,Bill To,Store Location,Status
DISTRIBUTION,GOOD,63 TECHNOLOGY SOLUTIONS INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,EASY TOUCH (PHILIPPINES) INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,RUNNER.AYALA.ALABANG TOWN CENTER.CON,,,ACTIVE
DISTRIBUTION,GOOD,RUNNER.SM.MALL OF ASIA.CON,,,ACTIVE
DISTRIBUTION,GOOD,RUNNER.AYALA.SERENDRA.CON,,,ACTIVE
DISTRIBUTION,GOOD,RUNNER.SHANGRI-LA.EDSA.CON,,,ACTIVE
DISTRIBUTION,GOOD,TOBY'S.AYALA.GLORIETTA 4.CON,,,ACTIVE
DISTRIBUTION,GOOD,TOBY'S.SM.MALL OF ASIA.CON,,,ACTIVE
DISTRIBUTION,GOOD,TOBY'S.SM.THE BLOCK.CON,,,ACTIVE
DISTRIBUTION,GOOD,TOBY'S.AYALA.TRINOMA.CON,,,ACTIVE
DISTRIBUTION,GOOD,TOBY'S.AYALA.GLORIETTA 2.CON,,,ACTIVE
DISTRIBUTION,GOOD,TOBY'S.SM.SAN LAZARO.CON,,,ACTIVE
DISTRIBUTION,GOOD,TOBY'S.SM.AURA.CON,,,ACTIVE
DISTRIBUTION,GOOD,TOBY'S.SM.MEGAMALL.CON,,,ACTIVE
DISTRIBUTION,GOOD,TOBY'S.SHANGRI-LA.EDSA.CON,,,ACTIVE
DISTRIBUTION,GOOD,EGGHEAD.SHANGRI-LA.EDSA.OUT,,,ACTIVE
DISTRIBUTION,GOOD,EGGHEAD.ROBINSONS.GALLERIA.OUT,,,ACTIVE
DISTRIBUTION,GOOD,I STORE.AYALA.CEBU.CON,,,ACTIVE
DISTRIBUTION,GOOD,I STORE.CENTRIO.CDO.CON,,,ACTIVE
DISTRIBUTION,GOOD,I STORE.ROBINSONS PLACE.DUMAGUETE.CON,,,ACTIVE
DISTRIBUTION,GOOD,I STORE.SM.ILOILO.CON,,,ACTIVE
DISTRIBUTION,GOOD,I STORE.SM.CEBU.CON,,,ACTIVE
DISTRIBUTION,GOOD,I STORE.SM.SEASIDE CITY CEBU.CON,,,ACTIVE
DISTRIBUTION,GOOD,MOBILE 1.AYALA.ALABANG TOWN CENTER.CON,,,ACTIVE
DISTRIBUTION,GOOD,THE INBOX STORE.SM.CLARK PAMPANGA.OUT,,,ACTIVE
DISTRIBUTION,GOOD,THE BIKE SHOP.ROCKWELL.SANTOLAN TOWN PLAZA.OUT,,,ACTIVE
DISTRIBUTION,GOOD,UPSON INTERNATIONAL CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,ASTROVISION.SM.DASMARINAS.CON,,,ACTIVE
DISTRIBUTION,GOOD,ASTROVISION.CASH AND CARRY.CASH AND CARRY.CON,,,ACTIVE
DISTRIBUTION,GOOD,ELECTROWORLD.WAREHOUSE.CON,,,ACTIVE
DISTRIBUTION,GOOD,SHOPEE.CRP,,,ACTIVE
DISTRIBUTION,GOOD,BRATPACK.ROBINSONS.GALLERIA.CON,,,ACTIVE
DISTRIBUTION,GOOD,"HI-PRECISION DIAGNOSTIC CENTER, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,YOU POUND IT INC.OUT,,,ACTIVE
FRANCHISE,GOOD,BASEUS.AYALA.BONIFACIO HIGH STREET.FRA,BLUEHAT VENTURES INC.,,ACTIVE
FRANCHISE,GOOD,BEYOND THE BOX.LIMKETKAI MALL.CDO.FRA,BOXTALKS INC.,,ACTIVE
FRANCHISE,GOOD,BEYOND THE BOX.AYALA.FAIRVIEW TERRACES.FRA,BOXTALKS INC.,,ACTIVE
FRANCHISE,GOOD,BEYOND THE BOX.MEGAWORLD.FORBESTOWN.FRA,BOXTALKS INC.,,ACTIVE
FRANCHISE,GOOD,BEYOND THE BOX.MEGAWORLD.LUCKY CHINATOWN.FRA,BOXTALKS INC.,,ACTIVE
FRANCHISE,GOOD,BEYOND THE BOX.AYALA.MARKET MARKET.FRA,BOXTALKS INC.,,ACTIVE
FRANCHISE,GOOD,DIGITAL WALKER.AYALA.CLOVERLEAF.FRA,GADGETHUB RETAIL COMPANY,,ACTIVE
FRANCHISE,GOOD,DIGITAL WALKER.CAPITOL COMMONS.ESTANCIA.FRA,DIGITAL WALKER CORP.,,ACTIVE
FRANCHISE,GOOD,DIGITAL WALKER.FESTIVAL MALL.ALABANG.FRA,DIGITAL WALKER CORP.,,ACTIVE
FRANCHISE,GOOD,DIGITAL WALKER.AYALA.GREENBELT 5.FRA,"KICKSTART IDEAS, INC.",,ACTIVE
FRANCHISE,GOOD,DIGITAL WALKER.ROBINSONS.MAGNOLIA.FRA,DIGITAL WALKER CORP.,,ACTIVE
FRANCHISE,GOOD,DIGITAL WALKER.AYALA.UPTC.FRA,GALAXY HUB TECHNO LTD. CO.,,ACTIVE
